;店名;EN;类别;连锁;地址;Ortsteil;推荐备注;柏林慢慢游甄选20;;;;;;;;;;;;;;;;;
93;璐/Lulu's;Lulu's;饭店;否;Knesebeckstraße 18-19, 10623 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
94;Lu Kitchen (Bikini);Lu Kitchen (Bikini);小吃;是;Kantini 1.OG, Bikini, Budapester Str. 38-50, 10787 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
95;Lu Kitchen (Fhain);Lu Kitchen (Fhain);小吃;是;Simon-Dach-Straße 30, 10245 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
96;绿食膳/Green Flavor;Green Flavor;饭店;否;Kantstraße 22, 10623 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
97;Lychee;Lychee;饭店;否;Bayerische Str. 9, 10707 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
98;马路边/Marubi;Marubi;小吃;否;Schönhauser Allee 187, 10119 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
99;麦/May Noodles;May Noodles;面馆;否;Boxhagener Str. 50, 10245 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
100;帽牌冒菜/Mao Master;Mao Master;麻辣烫/冒菜;否;Kantstr. 50, 10625 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
101;Mao Zeit;Mao Zeit;麻辣烫/冒菜;否;Manifesto Market, Alte Potsdamer Str. 7, 10785 Berlin;Tiergarten;;;;;;;;;;;;;;;;;;;
102;玫瑰苑/Rosengarten;Rosengarten;饭店;否;Hohenzollerndamm 110A, 14199 Berlin;Schmargendorf;;;;;;;;;;;;;;;;;;;
103;美食家/Asia Deli;Asia Deli;小吃;否;Seestraße 41, 13353 Berlin;Wedding;;;;;;;;;;;;;;;;;;;
104;米吧/MIBAP;MIBAP;小吃;否;Torstraße 22, 10119 Berlin;Mitte;;台式便当｜手作健康｜日常首选;;;;;;;;;;;;;;;;;
105;Ming Jia;Ming Jia;饭店;否;Schloßstraße 32, 14059 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
106;Miss Wu;Miss Wu;饭店;否;Königin-Luise-Straße 71, 14195 Berlin;Dahlem;;;;;;;;;;;;;;;;;;;
107;Mr. Liu;Mr. Liu;饭店;否;Bundesallee 45, 10715 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
108;N Noodles & Tea;N Noodles & Tea;面馆;否;Gneisenaustraße 24, 10961 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
109;南吉/Gaststätte Südpol;Gaststätte Südpol;烧烤;否;Dieselstraße 20, 12057 Berlin;Neukölln;;;;;;;;;;;;;;;;;;;
110;倪记/Ni’s Restaurant;Ni’s Restaurant;饭店;否;Kleine Präsidentenstraße 3, 10178 Berlin;Mitte;;江南菜系｜小笼招牌｜精致家常;;;;;;;;;;;;;;;;;
111;年三十饺子/Dumplings Nian;Dumplings Nian;小吃;否;Eisenbahnstraße 4, 10997 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
112;您好饭店/Ni Hao;Ni Hao;火锅;否;Bismarckstraße 24, 10625 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
113;牛稼莊/Beef House;Beef House;小吃;否;Kottbusser Damm 94, 10967 Berlin;Neukölln;;;;;;;;;;;;;;;;;;;
114;农夫乐/Asia Farmhouse;Asia Farmhouse;小吃;否;Pannierstraße 54, 12047 Berlin;Neukölln;;;;;;;;;;;;;;;;;;;
